"Start";"Duration";"Pitch";"Velocity";"Instrument"
0.0;0.25;55.0;0.7086600000000001;"piano"
0.0;2.0;71.0;0.496062;"piano"
0.25;0.25;62.0;0.7086600000000001;"piano"
0.5;0.25;59.0;0.7086600000000001;"piano"
0.75;0.25;62.0;0.7086600000000001;"piano"
1.0;0.25;55.0;0.7086600000000001;"piano"
1.25;0.25;62.0;0.7086600000000001;"piano"
1.5;0.25;59.0;0.7086600000000001;"piano"
1.75;0.25;62.0;0.7086600000000001;"piano"
2.0;0.25;57.0;0.7086600000000001;"piano"
2.0;0.25;74.0;0.496062;"piano"
2.25;0.25;62.0;0.7086600000000001;"piano"
2.25;0.25;72.0;0.496062;"piano"
2.5;0.25;60.0;0.7086600000000001;"piano"
2.5;0.25;71.0;0.496062;"piano"
2.75;0.25;62.0;0.7086600000000001;"piano"
2.75;0.25;72.0;0.496062;"piano"
3.0;0.25;55.0;0.7086600000000001;"piano"
3.0;0.75;74.0;0.496062;"piano"
3.25;0.25;62.0;0.7086600000000001;"piano"
3.5;0.25;59.0;0.7086600000000001;"piano"
3.75;0.25;62.0;0.7086600000000001;"piano"
3.75;0.25;71.0;0.496062;"piano"
4.0;0.25;55.0;0.7086600000000001;"piano"
4.0;1.0;67.0;0.496062;"piano"
4.25;0.25;62.0;0.7086600000000001;"piano"
4.5;0.25;59.0;0.7086600000000001;"piano"
4.75;0.25;62.0;0.7086600000000001;"piano"
5.0;0.25;55.0;0.7086600000000001;"piano"
5.25;0.25;62.0;0.7086600000000001;"piano"
5.5;0.25;59.0;0.7086600000000001;"piano"
5.75;0.25;62.0;0.7086600000000001;"piano"
6.0;0.25;55.0;0.7086600000000001;"piano"
6.0;1.5;79.0;0.496062;"piano"
6.25;0.25;64.0;0.7086600000000001;"piano"
6.5;0.25;60.0;0.7086600000000001;"piano"
6.75;0.25;64.0;0.7086600000000001;"piano"
7.0;0.25;55.0;0.7086600000000001;"piano"
7.25;0.25;64.0;0.7086600000000001;"piano"
7.5;0.25;60.0;0.7086600000000001;"piano"
7.5;0.25;81.0;0.496062;"piano"
7.75;0.25;64.0;0.7086600000000001;"piano"
7.75;0.25;79.0;0.496062;"piano"
8.0;0.25;55.0;0.7086600000000001;"piano"
8.0;0.25;78.0;0.496062;"piano"
8.25;0.25;61.0;0.7086600000000001;"piano"
8.25;0.25;76.0;0.496062;"piano"
8.5;0.25;58.0;0.7086600000000001;"piano"
8.5;0.25;74.0;0.496062;"piano"
8.75;0.25;61.0;0.7086600000000001;"piano"
8.75;0.25;73.0;0.496062;"piano"
9.0;0.25;55.0;0.7086600000000001;"piano"
9.0;0.75;74.0;0.496062;"piano"
9.25;0.25;62.0;0.7086600000000001;"piano"
9.5;0.25;59.0;0.7086600000000001;"piano"
9.75;0.25;62.0;0.7086600000000001;"piano"
9.75;0.25;71.0;0.496062;"piano"
10.0;0.25;55.0;0.7086600000000001;"piano"
10.0;1.0;67.0;0.496062;"piano"
10.25;0.25;62.0;0.7086600000000001;"piano"
10.5;0.25;59.0;0.7086600000000001;"piano"
10.75;0.25;62.0;0.7086600000000001;"piano"
11.0;0.25;55.0;0.7086600000000001;"piano"
11.25;0.25;62.0;0.7086600000000001;"piano"
11.5;0.25;59.0;0.7086600000000001;"piano"
11.75;0.25;62.0;0.7086600000000001;"piano"
